DATE,vwretd,vwretx,ewretd,ewretx,sprtrn,spindx,totval
1999-01-04,-0.000831,-0.000865,0.011409,0.011342,-0.000919,1228.1,13199160700
1999-01-05,0.011888,0.011854,0.009512,0.009495,0.013582,1244.78,13355465700
1999-01-06,0.021143,0.020955,0.014866,0.014791,0.02214,1272.34,13635141200
1999-01-07,-0.000799,-0.000856,0.00356,0.003531,-0.002051,1269.73,13622517700
1999-01-08,0.004604,0.004601,0.00941,0.009386,0.004221,1275.09,13685223700
1999-01-11,-0.004982,-0.004988,0.006378,0.006371,-0.008792,1263.88,13616961100
1999-01-12,-0.018197,-0.0182,-0.006131,-0.006146,-0.019282,1239.51,13368254200
1999-01-13,-0.00576,-0.00584,-0.006715,-0.006881,-0.004123,1234.4,13290207300
1999-01-14,-0.015793,-0.015806,-0.001111,-0.001138,-0.017993,1212.19,13066865300
1999-01-15,0.023001,0.022987,0.014609,0.014587,0.025631,1243.26,13367435600
1999-01-19,0.0076,0.007593,0.007704,0.007696,0.00703,1252,13468482100
1999-01-20,0.002364,0.002309,0.001375,0.001323,0.00369,1256.62,13498931800
1999-01-21,-0.017356,-0.017378,-0.005434,-0.005452,-0.017078,1235.16,13264362900
1999-01-22,-0.006415,-0.006423,-0.001283,-0.001295,-0.008072,1225.19,13184569900
1999-01-25,0.006536,0.006528,0.001815,0.001805,0.007174,1233.98,13270010900
1999-01-26,0.013889,0.013885,0.005311,0.005302,0.014854,1252.31,13454391700
1999-01-27,-0.007022,-0.007161,-0.00568,-0.005819,-0.007299,1243.17,13358965400
1999-01-28,0.015965,0.015858,0.00325,0.00316,0.017858,1265.37,13567426700
1999-01-29,0.009339,0.009333,0.007896,0.007875,0.011277,1279.64,13752730000
1999-02-01,-0.003402,-0.003407,-0.001705,-0.001733,-0.005189,1273,13705868300
1999-02-02,-0.008696,-0.008733,-0.00512,-0.00514,-0.008649,1261.99,13587581300
1999-02-03,0.009073,0.008934,0.007191,0.007049,0.007987,1272.07,13708653200
1999-02-04,-0.018078,-0.018149,-0.001812,-0.001853,-0.018537,1248.49,13455318000
1999-02-05,-0.008764,-0.008784,-0.003481,-0.003496,-0.007281,1239.4,13350115300
1999-02-08,0.002013,0.001877,0.000908,0.000852,0.003526,1243.77,13375721900
