06/2003,1431
07/2003,3416
08/2003,2568
09/2003,596
10/2003,365
11/2003,0
12/2003,1
01/2004,2531
02/2004,2969
03/2004,3167
04/2004,3212
05/2004,4914
06/2004,3209
07/2004,3457
08/2004,5305
09/2004,2980
10/2004,2558
11/2004,3118
12/2004,2598
01/2005,2585
02/2005,3393
03/2005,3441
04/2005,3401
05/2005,5789
06/2005,3163
07/2005,2632
08/2005,4352
09/2005,3292
10/2005,2787
11/2005,4524
12/2005,3472
01/2006,4845
02/2006,3257
03/2006,4015
04/2006,2455
05/2006,5495
06/2006,4999
07/2006,3286
08/2006,5813
09/2006,3204
10/2006,2834
11/2006,3140
12/2006,2998
01/2007,2263
02/2007,2534
03/2007,3663
04/2007,2430
05/2007,4284
06/2007,2880
07/2007,4733
08/2007,11851
09/2007,3476
10/2007,3533
11/2007,8502
12/2007,7288
01/2008,7503
02/2008,7407
03/2008,11609
04/2008,4646
05/2008,8830
06/2008,6555
07/2008,5370
08/2008,6024
09/2008,5480
10/2008,5910
11/2008,10825
12/2008,7648
01/2009,3347
02/2009,7119
03/2009,8343
04/2009,2871
05/2009,4128
06/2009,3595
07/2009,2342
08/2009,3153
09/2009,2354
10/2009,1803
11/2009,3605
12/2009,2948
01/2010,1949
02/2010,2417
03/2010,2862
04/2010,1846
05/2010,4128
06/2010,3125
07/2010,1478
08/2010,3839
09/2010,2127
10/2010,1402
11/2010,2549
12/2010,2442
01/2011,1973
02/2011,2446
03/2011,4597
04/2011,1971
05/2011,4531
06/2011,2777
07/2011,1601
08/2011,8150
09/2011,3763
10/2011,2154
11/2011,3986
12/2011,5777
01/2012,1910
02/2012,2290
03/2012,2632
04/2012,1981
05/2012,4812
06/2012,3196
07/2012,1741
08/2012,4878
09/2012,2121
10/2012,1876
11/2012,6067
12/2012,2956
01/2013,1751
02/2013,2229
03/2013,2464
04/2013,1805
05/2013,893
01/2014,1769
02/2014,2260
03/2014,2438
07/2014,1863
12/2014,152
01/2015,2029
02/2015,2356
03/2015,3274
04/2015,2085
05/2015,3472
06/2015,2755
07/2015,2620
08/2015,6196
09/2015,3348
10/2015,2597
11/2015,3894
12/2015,4654
01/2016,3537
02/2016,4111
03/2016,3015
04/2016,2187
05/2016,2826
06/2016,2427
07/2016,1597
08/2016,2695
09/2016,2998
10/2016,2095
11/2016,3452
12/2016,636
01/2017,1435
02/2017,1695
03/2017,2832
04/2017,1938
05/2017,3582
06/2017,2101
07/2017,1082
08/2017,2568
09/2017,1333
10/2017,1281
11/2017,1698
12/2017,1756
01/2018,1468
02/2018,2051
03/2018,3134
04/2018,1334
05/2018,2927
06/2018,1939
07/2018,1371
08/2018,2490
09/2018,3750
10/2018,7331
11/2018,7054
12/2018,8512
01/2019,3708
02/2019,1624
03/2019,6536
04/2019,3015
05/2019,3580
06/2019,5018
07/2019,3080
08/2019,3565
09/2019,2293
10/2019,1538
11/2019,2338
12/2019,1825
01/2020,1188
02/2020,2127
03/2020,7834
04/2020,1618
05/2020,3201
06/2020,1910
07/2020,1323
08/2020,2707
09/2020,2397
10/2020,713
11/2020,2087
12/2020,1906
01/2021,994
02/2021,1444
03/2021,2164
04/2021,1299
05/2021,2428
